,models,filepaths,labelpaths,acc,nll,brier,qunc,hyperparameters,seed,npz_flag,train_set,test_set,model_family
0,densenet121,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/densenet121/run_0.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cinic10_targets.npy,0.7078571428571429,1.4660090669531778,0.4903785461800833,0.11286411,[None],0,cinic10,cifar10,cinic10,Neural Network
1,densenet121,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/densenet121/run_1.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cinic10_targets.npy,0.7099142857142857,1.4599507160758054,0.48539499228812044,0.11474942,[None],1,cinic10,cifar10,cinic10,Neural Network
2,densenet121,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/densenet121/run_2.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cinic10_targets.npy,0.7042142857142857,1.472248522358066,0.4948229894291443,0.11710421,[None],2,cinic10,cifar10,cinic10,Neural Network
3,densenet121,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/densenet121/run_3.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cinic10_targets.npy,0.7068571428571429,1.433105229333621,0.48926194453478716,0.116128765,[None],3,cinic10,cifar10,cinic10,Neural Network
4,densenet_cifar,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/densenet_cifar/run_0.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cinic10_targets.npy,0.6885,1.6000141979375642,0.5208801054286317,0.12257444,[None],0,cinic10,cifar10,cinic10,Neural Network
5,densenet_cifar,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/densenet_cifar/run_1.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cinic10_targets.npy,0.6962571428571429,1.5667250479146202,0.5080529153959323,0.12138629,[None],1,cinic10,cifar10,cinic10,Neural Network
6,densenet_cifar,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/densenet_cifar/run_2.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cinic10_targets.npy,0.6979714285714286,1.6063793532275359,0.5088516914805472,0.11621445,[None],2,cinic10,cifar10,cinic10,Neural Network
7,densenet_cifar,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/densenet_cifar/run_3.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cinic10_targets.npy,0.6887714285714286,1.6068679988918355,0.5213541093798199,0.12142523,[None],3,cinic10,cifar10,cinic10,Neural Network
8,densenet_cifar,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/densenet_cifar/run_4.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cinic10_targets.npy,0.6961285714285714,1.5711913599375686,0.507616349683707,0.12095371,[None],4,cinic10,cifar10,cinic10,Neural Network
9,dpn26,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/dpn26/run_0.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cinic10_targets.npy,0.7038,1.3914271512195913,0.4817208346158061,0.13815482,[None],0,cinic10,cifar10,cinic10,Neural Network
10,dpn26,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/dpn26/run_1.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cinic10_targets.npy,0.7056857142857142,1.3998502950770106,0.47946794918670527,0.13686514,[None],1,cinic10,cifar10,cinic10,Neural Network
11,efficientnetb0,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/efficientnetb0/run_0.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cinic10_targets.npy,0.6455571428571428,1.7392689947723765,0.5704210568399276,0.16915122,[None],0,cinic10,cifar10,cinic10,Neural Network
12,efficientnetb0,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/efficientnetb0/run_1.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cinic10_targets.npy,0.6442285714285715,1.7243073845699814,0.5692364889881733,0.17512785,[None],1,cinic10,cifar10,cinic10,Neural Network
13,efficientnetb0,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/efficientnetb0/run_2.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cinic10_targets.npy,0.6431571428571429,1.741053225290236,0.5716219005375732,0.17183614,[None],2,cinic10,cifar10,cinic10,Neural Network
14,efficientnetb0,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/efficientnetb0/run_3.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cinic10_targets.npy,0.6338,1.768335445280818,0.5832946396623594,0.18045983,[None],3,cinic10,cifar10,cinic10,Neural Network
15,efficientnetb0,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/efficientnetb0/run_4.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cinic10_targets.npy,0.6425428571428572,1.6897747972071695,0.5683042373797317,0.17937244,[None],4,cinic10,cifar10,cinic10,Neural Network
16,googlenet,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/googlenet/run_0.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cinic10_targets.npy,0.7117857142857142,1.245822072348712,0.4531321165266859,0.16218083,[None],0,cinic10,cifar10,cinic10,Neural Network
17,googlenet,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/googlenet/run_1.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cinic10_targets.npy,0.7124285714285714,1.275621597655213,0.4569374752593004,0.15650994,[None],1,cinic10,cifar10,cinic10,Neural Network
18,googlenet,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/googlenet/run_2.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cinic10_targets.npy,0.7148714285714286,1.2313873879533088,0.44956695072931646,0.15941082,[None],2,cinic10,cifar10,cinic10,Neural Network
19,lenet,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/lenet/run_0.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cinic10_targets.npy,0.5034,1.6822396661662684,0.6868414242472093,0.39901012,[None],0,cinic10,cifar10,cinic10,Neural Network
20,lenet,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/lenet/run_1.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cinic10_targets.npy,0.5102285714285715,1.6011553846120308,0.6699553069244906,0.41144666,[None],1,cinic10,cifar10,cinic10,Neural Network
21,lenet,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/lenet/run_2.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cinic10_targets.npy,0.5097285714285714,1.6051840935568267,0.6689055489487062,0.4166213,[None],2,cinic10,cifar10,cinic10,Neural Network
22,lenet,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/lenet/run_3.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cinic10_targets.npy,0.5105714285714286,1.5957756950533246,0.6672218524404608,0.4179112,[None],3,cinic10,cifar10,cinic10,Neural Network
23,lenet,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/lenet/run_4.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cinic10_targets.npy,0.5061142857142857,1.6069557363606315,0.6740846540913398,0.4178283,[None],4,cinic10,cifar10,cinic10,Neural Network
24,mobilenet,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/mobilenet/run_0.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cinic10_targets.npy,0.6343285714285715,1.4915898591886991,0.5662433733008553,0.20986317,[None],0,cinic10,cifar10,cinic10,Neural Network
25,mobilenet,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/mobilenet/run_1.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cinic10_targets.npy,0.6396,1.4755698737821124,0.5609224117028461,0.2054816,[None],1,cinic10,cifar10,cinic10,Neural Network
26,mobilenet,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/mobilenet/run_2.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cinic10_targets.npy,0.6332285714285715,1.5238894738261144,0.5712743421229248,0.20393604,[None],2,cinic10,cifar10,cinic10,Neural Network
27,mobilenet,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/mobilenet/run_3.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cinic10_targets.npy,0.6282571428571428,1.5341676459923426,0.5766833877694544,0.21105523,[None],3,cinic10,cifar10,cinic10,Neural Network
28,mobilenetv2,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/mobilenetv2/run_0.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cinic10_targets.npy,0.6560285714285714,1.5367552177726456,0.5455526548357361,0.18051782,[None],0,cinic10,cifar10,cinic10,Neural Network
29,mobilenetv2,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/mobilenetv2/run_1.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cinic10_targets.npy,0.6440714285714285,1.540799706122275,0.5567265276866256,0.19616054,[None],1,cinic10,cifar10,cinic10,Neural Network
30,pnasneta,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/pnasneta/run_0.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cinic10_targets.npy,0.5546285714285715,1.544364290307504,0.6363699440028322,0.341889,[None],0,cinic10,cifar10,cinic10,Neural Network
31,pnasneta,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/pnasneta/run_1.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cinic10_targets.npy,0.5706285714285714,1.6055195215686557,0.636780913021421,0.28925535,[None],1,cinic10,cifar10,cinic10,Neural Network
32,pnasneta,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/pnasneta/run_2.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cinic10_targets.npy,0.5621714285714285,1.6487121057703646,0.6441135981888454,0.2984766,[None],2,cinic10,cifar10,cinic10,Neural Network
