models,acc,brier,ece,f1,nll,CalROCauc,CalPRauc,EnsVar,ClsVar,model_scores,ensemble_avg_type,num_params,ensemble_group,ensemble_size,ensemble_type,seed,dataset,data_type,architecture,binning
efficientnetb0--efficientnetb0--efficientnetb0--efficientnetb0--11--13--14--15,0.6412642857142857,0.573410458604898,0.2346904406573623,0.6377783128967286,1.73460811563765,0.7932441519732133,0.8769173270296121,0.15424213,0.0724795162677764,,no_avg,0,11--13--14--15,4,hom,1,cinic10,ood,,1
efficientnetb0--efficientnetb0--efficientnetb0--efficientnetb0--11--13--14--15,0.6814285714285714,0.4970162969465956,0.1923200952606542,0.67777236580376,1.3712876897371256,0.8137896137105037,0.9064118012400472,34.913727,0.0722177103161811,,avg_logits,0,11--13--14--15,4,hom,1,cinic10,ood,,1
efficientnetb0--efficientnetb0--efficientnetb0--efficientnetb0--11--13--14--15,0.6788428571428572,0.4577288628096603,0.1044137865143162,0.6750885866815507,1.1916217666521831,0.811360167935242,0.9022931903092272,0.15424213,0.0609113425016403,,avg_probs,0,11--13--14--15,4,hom,1,cinic10,ood,,1
efficientnetb0--efficientnetb0--efficientnetb0--efficientnetb0--11--12--13--14,0.6416857142857143,0.5736435215070084,0.2350576934951224,0.6379574570168165,1.743241262478353,0.7931781851077544,0.8773537154023003,0.15148892,0.0725856274366378,,no_avg,0,11--12--13--14,4,hom,1,cinic10,ood,,1
efficientnetb0--efficientnetb0--efficientnetb0--efficientnetb0--11--12--13--14,0.6797714285714286,0.5005248068567999,0.1956396731240409,0.675807050679031,1.3876310919267654,0.8144536781373017,0.9064106652571414,34.013107,0.0724258497357368,,avg_logits,0,11--12--13--14,4,hom,1,cinic10,ood,,1
efficientnetb0--efficientnetb0--efficientnetb0--efficientnetb0--11--12--13--14,0.6776285714285715,0.4600268505768724,0.1081829578916941,0.6735738183549339,1.20177105579084,0.8118396668288385,0.9025411494843396,0.15148892,0.0612239614129066,,avg_probs,0,11--12--13--14,4,hom,1,cinic10,ood,,1
shufflenetv2_1--shufflenetv2_1--shufflenetv2_1--shufflenetv2_1--97--98--100--101,0.6455535714285714,0.5696796414693579,0.2342031911920756,0.642070129640503,1.7122230012200388,0.7962699595591771,0.8822800544328089,0.15208341,0.0729878786951303,,no_avg,0,97--98--100--101,4,hom,1,cinic10,ood,,1
shufflenetv2_1--shufflenetv2_1--shufflenetv2_1--shufflenetv2_1--97--98--100--101,0.6836714285714286,0.495162671152467,0.1918382673576474,0.679604930173369,1.3595518520388534,0.8159700979624138,0.9097104538218492,23.168135,0.0724302679300308,,avg_logits,0,97--98--100--101,4,hom,1,cinic10,ood,,1
shufflenetv2_1--shufflenetv2_1--shufflenetv2_1--shufflenetv2_1--97--98--100--101,0.6799857142857143,0.4556170859894609,0.1086030336077724,0.6757667947739091,1.1849586333811557,0.8155938394271838,0.9064289862829242,0.15208341,0.0615816190838813,,avg_probs,0,97--98--100--101,4,hom,1,cinic10,ood,,1
shufflenetv2_2--shufflenetv2_2--shufflenetv2_2--shufflenetv2_2--107--108--110--112,0.6543035714285714,0.5667092166552572,0.2385300129483853,0.6506308128888625,1.7880812786332123,0.794911851420931,0.8833335865149148,0.15045686,0.0748045109212398,,no_avg,0,107--108--110--112,4,hom,1,cinic10,ood,,1
