models,acc,brier,ece,f1,nll,CalROCauc,CalPRauc,EnsVar,ClsVar,model_scores,ensemble_avg_type,num_params,ensemble_group,ensemble_size,ensemble_type,seed,dataset,data_type,architecture,binning
deepens_alexnet--deepens_alexnet--deepens_alexnet--deepens_alexnet--78--79--80--81,0.49199,0.636471923666039,0.0141177096182107,0.4817885910450885,2.28820043105644,0.840426388227564,0.8528405282325244,0.04306124,0.0003655172185972,,no_avg,244403384,78--79--80--81,4,hom,1,imagenet,ind,,1
deepens_alexnet--deepens_alexnet--deepens_alexnet--deepens_alexnet--78--79--80--81,0.53188,0.5967022915209853,0.0430828424704074,0.5222177349913064,2.08294427316577,0.8456900604004923,0.8737875232302439,1091.7815,0.000371190108126,,avg_logits,244403384,78--79--80--81,4,hom,1,imagenet,ind,,1
deepens_alexnet--deepens_alexnet--deepens_alexnet--deepens_alexnet--78--79--80--81,0.52968,0.6041759928358938,0.0727896209991723,0.5187228504647637,2.114061181636655,0.8472477165877467,0.8731401514156898,0.04306124,0.000333221280016,,avg_probs,244403384,78--79--80--81,4,hom,1,imagenet,ind,,1
deepens_resnet101--deepens_resnet101--deepens_resnet101--deepens_resnet101--84--85--86--87,0.730555,0.3703932306041696,0.0252492957835085,0.7267630371177055,1.0725672369218655,0.8617590810900337,0.9438634138361112,0.044337012,0.0006658992642769,,no_avg,178196664,84--85--86--87,4,hom,1,imagenet,ind,,1
deepens_resnet101--deepens_resnet101--deepens_resnet101--deepens_resnet101--84--85--86--87,0.7609,0.3315187510667636,0.0156112142601608,0.7576730863531557,0.9312403891410884,0.8677617883992294,0.9535103404160984,733.2035,0.0006832700455561,,avg_logits,178196664,84--85--86--87,4,hom,1,imagenet,ind,,1
deepens_resnet101--deepens_resnet101--deepens_resnet101--deepens_resnet101--84--85--86--87,0.76046,0.3371404671757025,0.0377576964311301,0.7566975775093533,0.9383472927596476,0.8599013890756624,0.950683920362954,0.044337012,0.000632646435406,,avg_probs,178196664,84--85--86--87,4,hom,1,imagenet,ind,,1
deepens_resnet101--deepens_resnet101--deepens_resnet101--deepens_resnet101--83--84--85--87,0.7315849999999999,0.368626884350353,0.0242479207575507,0.7278273456572504,1.0650351736324413,0.8622709779985767,0.9443499292030088,0.043233592,0.0006655516917817,,no_avg,178196664,83--84--85--87,4,hom,1,imagenet,ind,,1
deepens_resnet101--deepens_resnet101--deepens_resnet101--deepens_resnet101--83--84--85--87,0.76118,0.3306240989039213,0.014555984916538,0.7578009161486091,0.927046132040623,0.868473121542505,0.953849121431576,701.9734,0.000682775513269,,avg_logits,178196664,83--84--85--87,4,hom,1,imagenet,ind,,1
deepens_resnet101--deepens_resnet101--deepens_resnet101--deepens_resnet101--83--84--85--87,0.76072,0.3362016878820105,0.0370038184978068,0.7568907229799989,0.934577939812364,0.8610080095687208,0.9511370492313336,0.043233592,0.0006331264739856,,avg_probs,178196664,83--84--85--87,4,hom,1,imagenet,ind,,1
deepens_resnet101--deepens_resnet101--deepens_resnet101--deepens_resnet101--83--84--86--87,0.7310099999999999,0.3695639551350548,0.0247650524578429,0.7272989413719406,1.0700952246544906,0.8617967797942099,0.9439576704564414,0.044378076,0.0006659026985289,,no_avg,178196664,83--84--86--87,4,hom,1,imagenet,ind,,1
