models,acc,brier,ece,f1,nll,CalROCauc,CalPRauc,EnsVar,ClsVar,model_scores,ensemble_avg_type,num_params,ensemble_group,ensemble_size,ensemble_type,seed,dataset,data_type,architecture,binning
deepens_alexnet--deepens_alexnet--deepens_alexnet--deepens_alexnet--78--79--80--81,0.001,0.9990001015985774,2.616098592989145e-05,5.289810681056391e-06,6.907806096611023,0.4437367888315933,0.0009427283033563,9.978918e-08,9.940681090780944e-11,,no_avg,244403384,78--79--80--81,4,hom,1,imagenet_c_fog_1,ood,,1
deepens_alexnet--deepens_alexnet--deepens_alexnet--deepens_alexnet--78--79--80--81,0.00096,0.9990000267698828,5.425114553421733e-05,2.75954053456121e-06,6.907768677606582,0.4634534569853726,0.0011129714042844,0.099858396,2.4555706426565568e-11,,avg_logits,244403384,78--79--80--81,4,hom,1,imagenet_c_fog_1,ood,,1
deepens_alexnet--deepens_alexnet--deepens_alexnet--deepens_alexnet--78--79--80--81,0.00092,0.9990000267562478,9.424159947782752e-05,2.046991812032752e-06,6.907768670530319,0.468260799935941,0.0011058440238215,9.978918e-08,2.456492127766996e-11,,avg_probs,244403384,78--79--80--81,4,hom,1,imagenet_c_fog_1,ood,,1
deepens_resnet101--deepens_resnet101--deepens_resnet101--deepens_resnet101--84--85--86--87,0.5606599999999999,0.5668962260655253,0.032372298207432,0.5650824423578529,1.8918459676324184,0.840758333388012,0.8788547215059856,0.058033194,0.0004757390779559,,no_avg,178196664,84--85--86--87,4,hom,1,imagenet_c_fog_1,ood,,1
deepens_resnet101--deepens_resnet101--deepens_resnet101--deepens_resnet101--84--85--86--87,0.60318,0.5183933261501835,0.0178037006314098,0.6074181725193484,1.668924654055532,0.8464938056013426,0.8994618760241799,660.4175,0.0004836205625906,,avg_logits,178196664,84--85--86--87,4,hom,1,imagenet_c_fog_1,ood,,1
deepens_resnet101--deepens_resnet101--deepens_resnet101--deepens_resnet101--84--85--86--87,0.6057,0.523371330977183,0.0507435626743733,0.6092844166492841,1.6777258303328877,0.83899396932958,0.8944881434929821,0.058033194,0.0004322142049204,,avg_probs,178196664,84--85--86--87,4,hom,1,imagenet_c_fog_1,ood,,1
deepens_resnet101--deepens_resnet101--deepens_resnet101--deepens_resnet101--83--84--85--87,0.562085,0.5650000611463474,0.0307269450589269,0.5664118442318712,1.8800961353091712,0.840711483092387,0.8794724734447241,0.056827255,0.0004753484972752,,no_avg,178196664,83--84--85--87,4,hom,1,imagenet_c_fog_1,ood,,1
deepens_resnet101--deepens_resnet101--deepens_resnet101--deepens_resnet101--83--84--85--87,0.60558,0.517246867594728,0.0195436597852408,0.6099158339759263,1.662237268436084,0.844915154703634,0.8993590775213579,634.1924,0.0004833775456063,,avg_logits,178196664,83--84--85--87,4,hom,1,imagenet_c_fog_1,ood,,1
deepens_resnet101--deepens_resnet101--deepens_resnet101--deepens_resnet101--83--84--85--87,0.6077,0.522379618956117,0.052343036134541,0.6113031243848951,1.6719697439605417,0.8380057702009361,0.8945369914833388,0.056827255,0.0004327280330471,,avg_probs,178196664,83--84--85--87,4,hom,1,imagenet_c_fog_1,ood,,1
deepens_resnet50--deepens_resnet50--deepens_resnet50--deepens_resnet50--88--90--91--92,0.57039,0.5593730552628651,0.0524397050744667,0.5745228770534505,1.8657379278380355,0.8413826817991976,0.8817701366705081,0.061855532,0.0005101985152577,,no_avg,102228152,88--90--91--92,4,hom,1,imagenet_c_fog_1,ood,,1
deepens_resnet50--deepens_resnet50--deepens_resnet50--deepens_resnet50--88--90--91--92,0.61136,0.5103594394760272,0.024854657036662,0.6155782915112235,1.6365799188628354,0.8465354247625498,0.9007531799622264,700.6084,0.000518208311405,,avg_logits,102228152,88--90--91--92,4,hom,1,imagenet_c_fog_1,ood,,1
deepens_resnet50--deepens_resnet50--deepens_resnet50--deepens_resnet50--88--90--91--92,0.61156,0.5129814050124475,0.0325798912289738,0.6149942131785064,1.645985755384507,0.8442485189360847,0.8982968082802337,0.061855532,0.0004638068494386,,avg_probs,102228152,88--90--91--92,4,hom,1,imagenet_c_fog_1,ood,,1
