models,acc,brier,ece,f1,nll,CalROCauc,CalPRauc,EnsVar,ClsVar,model_scores,ensemble_avg_type,num_params,ensemble_group,ensemble_size,ensemble_type,seed,dataset,data_type,architecture,binning
deepens_alexnet--deepens_alexnet--deepens_alexnet--deepens_alexnet--78--79--80--81,0.001065,0.9990001059187108,0.0001497304036654,7.276143926900246e-06,6.9078082937359815,0.4960150275982359,0.0010798600815964,1.0900904e-07,1.0879869401236864e-10,,no_avg,244403384,78--79--80--81,4,hom,1,imagenet_c_gaussian_noise_1,ood,,1
deepens_alexnet--deepens_alexnet--deepens_alexnet--deepens_alexnet--78--79--80--81,0.00104,0.9990000242262692,2.4395875595509915e-05,1.071835587750992e-05,6.907767416229248,0.4898887150328649,0.0010030444064219,0.10906688,2.7032837773832696e-11,,avg_logits,244403384,78--79--80--81,4,hom,1,imagenet_c_gaussian_noise_1,ood,,1
deepens_alexnet--deepens_alexnet--deepens_alexnet--deepens_alexnet--78--79--80--81,0.00104,0.9990000241618928,2.440088145434848e-05,1.1605871962408465e-05,6.907767384729385,0.4892896304464335,0.0010028438219102,1.0900904e-07,2.7041924255399863e-11,,avg_probs,244403384,78--79--80--81,4,hom,1,imagenet_c_gaussian_noise_1,ood,,1
deepens_alexnet--deepens_alexnet--deepens_alexnet--deepens_alexnet--78--79--80--82,0.001105,0.9990001214563532,0.0001094232418388,7.802960065730318e-06,6.907816078448296,0.5179899132335364,0.0011739210839768,1.0982077e-07,1.0989703765063028e-10,,no_avg,244403384,78--79--80--82,4,hom,1,imagenet_c_gaussian_noise_1,ood,,1
deepens_alexnet--deepens_alexnet--deepens_alexnet--deepens_alexnet--78--79--80--82,0.0011,0.9990000391391336,8.58024055138231e-05,1.77664417723281e-05,6.907774889516831,0.4183862248473321,0.0008476642763369,0.109929904,2.752761907309776e-11,,avg_logits,244403384,78--79--80--82,4,hom,1,imagenet_c_gaussian_noise_1,ood,,1
deepens_alexnet--deepens_alexnet--deepens_alexnet--deepens_alexnet--78--79--80--82,0.0011,0.999000039091046,8.579670116305358e-05,1.989046676711224e-05,6.907774866218567,0.4193521965070668,0.0008486640785359,1.0982077e-07,2.7531468424490943e-11,,avg_probs,244403384,78--79--80--82,4,hom,1,imagenet_c_gaussian_noise_1,ood,,1
deepens_resnet50--deepens_resnet50--deepens_resnet50--deepens_resnet50--88--89--90--91,0.59295,0.5357631219144632,0.0670013242805935,0.5889957816273675,1.7957155509497065,0.8494513923989863,0.8969099726130215,0.07225425,0.0005556938267545,,no_avg,102228152,88--89--90--91,4,hom,1,imagenet_c_gaussian_noise_1,ood,,1
deepens_resnet50--deepens_resnet50--deepens_resnet50--deepens_resnet50--88--89--90--91,0.63794,0.4778023392200931,0.0297053048712015,0.6343787661341531,1.5294066086169844,0.8585295382737514,0.9169954225995796,868.6993,0.0005650017992593,,avg_logits,102228152,88--89--90--91,4,hom,1,imagenet_c_gaussian_noise_1,ood,,1
deepens_resnet50--deepens_resnet50--deepens_resnet50--deepens_resnet50--88--89--90--91,0.63736,0.4815724311934477,0.0286074622364342,0.6329425279784074,1.5472068528263274,0.8558152381330544,0.9143790667169468,0.07225425,0.0005015031201764,,avg_probs,102228152,88--89--90--91,4,hom,1,imagenet_c_gaussian_noise_1,ood,,1
deepens_resnet101--deepens_resnet101--deepens_resnet101--deepens_resnet101--84--85--86--87,0.591005,0.5332079048147003,0.0319281423867493,0.5871762233679195,1.7571931023859948,0.8467825173914201,0.8947389748216807,0.06635819,0.0005069505714345,,no_avg,178196664,84--85--86--87,4,hom,1,imagenet_c_gaussian_noise_1,ood,,1
deepens_resnet101--deepens_resnet101--deepens_resnet101--deepens_resnet101--84--85--86--87,0.64318,0.4740865620356335,0.0237154925759136,0.6391745134351708,1.493739458567808,0.8523423169507764,0.9161775572918748,772.7857,0.000521756184753,,avg_logits,178196664,84--85--86--87,4,hom,1,imagenet_c_gaussian_noise_1,ood,,1
deepens_resnet101--deepens_resnet101--deepens_resnet101--deepens_resnet101--84--85--86--87,0.64568,0.483439262191897,0.0688461395173519,0.6408325069688153,1.52145291272076,0.8421479776850064,0.90992257000188,0.06635819,0.0004571819445118,,avg_probs,178196664,84--85--86--87,4,hom,1,imagenet_c_gaussian_noise_1,ood,,1
deepens_resnet101--deepens_resnet101--deepens_resnet101--deepens_resnet101--83--84--85--87,0.588795,0.5347910201364044,0.0320997593532502,0.5853819372816341,1.760454189316532,0.8468652421803387,0.8938920800632959,0.066274,0.0005052085762144,,no_avg,178196664,83--84--85--87,4,hom,1,imagenet_c_gaussian_noise_1,ood,,1
deepens_resnet101--deepens_resnet101--deepens_resnet101--deepens_resnet101--83--84--85--87,0.64176,0.4753929583661428,0.0224759875446558,0.6382437576844402,1.4972990007817824,0.8524620681148837,0.9156657828517566,751.7561,0.0005201625172048,,avg_logits,178196664,83--84--85--87,4,hom,1,imagenet_c_gaussian_noise_1,ood,,1
deepens_resnet101--deepens_resnet101--deepens_resnet101--deepens_resnet101--83--84--85--87,0.64318,0.4850855197213323,0.0671949415047466,0.6388871793671733,1.5265761119481485,0.8426509802804456,0.909175145541968,0.066274,0.0004555030900519,,avg_probs,178196664,83--84--85--87,4,hom,1,imagenet_c_gaussian_noise_1,ood,,1
deepens_resnet50--deepens_resnet50--deepens_resnet50--deepens_resnet50--89--90--91--92,0.595065,0.5333381923285949,0.0667378953407891,0.5913954086692557,1.7833264015467003,0.8496064886235674,0.8976099695665045,0.07248681,0.0005577819392783,,no_avg,102228152,89--90--91--92,4,hom,1,imagenet_c_gaussian_noise_1,ood,,1
deepens_resnet50--deepens_resnet50--deepens_resnet50--deepens_resnet50--89--90--91--92,0.64076,0.4749910460925103,0.030680994785726,0.6371449392286572,1.5174123406475957,0.8577117138324195,0.9175676741050453,873.24774,0.000567149487324,,avg_logits,102228152,89--90--91--92,4,hom,1,imagenet_c_gaussian_noise_1,ood,,1
deepens_resnet50--deepens_resnet50--deepens_resnet50--deepens_resnet50--89--90--91--92,0.63994,0.4789730830328377,0.0300628350532054,0.635905667650559,1.5355835378913874,0.8551598228886755,0.914895496259961,0.07248681,0.0005034168134443,,avg_probs,102228152,89--90--91--92,4,hom,1,imagenet_c_gaussian_noise_1,ood,,1
deepens_alexnet--deepens_alexnet--deepens_alexnet--deepens_alexnet--79--80--81--82,0.00107,0.9990001184319092,0.0001442589507158,1.072589313618736e-05,6.907814498825074,0.4807837243161236,0.0009857900315446,1.0819802e-07,1.1154001507140964e-10,,no_avg,244403384,79--80--81--82,4,hom,1,imagenet_c_gaussian_noise_1,ood,,1
deepens_alexnet--deepens_alexnet--deepens_alexnet--deepens_alexnet--79--80--81--82,0.001,0.9990000372733492,1.880484726279972e-05,2.0341741253051262e-06,6.907773930025101,0.3650238238238238,0.0007011089630613,0.10825008,3.0389062793956256e-11,,avg_logits,244403384,79--80--81--82,4,hom,1,imagenet_c_gaussian_noise_1,ood,,1
deepens_alexnet--deepens_alexnet--deepens_alexnet--deepens_alexnet--79--80--81--82,0.001,0.9990000372833894,1.876957342028616e-05,2.0348778055877744e-06,6.907773934564591,0.3638382382382382,0.0007010890672621,1.0819802e-07,3.0391494876269576e-11,,avg_probs,244403384,79--80--81--82,4,hom,1,imagenet_c_gaussian_noise_1,ood,,1
