,models,filepaths,labelpaths,acc,nll,brier,qunc,hyperparameters,seed,npz_flag,train_set,test_set,model_family
0,FixPNASNet,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_FixPNASNet.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.83698,0.6856677035355814,0.2483355773165233,0.13390585780143738,,0,,imagenet,imagenet,Neural Network
1,FixResNet50,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_FixResNet50.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.79,0.8295782957949759,0.30119372351356516,0.2858237624168396,,0,,imagenet,imagenet,Neural Network
2,FixResNet50_no_adaptation,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_FixResNet50_no_adaptation.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.7704,0.9149001207339758,0.32317494224857285,0.25848594307899475,,0,,imagenet,imagenet,Neural Network
3,FixResNet50_v2,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_FixResNet50_v2.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.79098,0.8269692590201362,0.3001970343200016,0.2822835147380829,,0,,imagenet,imagenet,Neural Network
4,alexnet,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_alexnet.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.56522,1.910299075748398,0.5589174810989186,0.5300764235375724,,0,,imagenet,imagenet,Neural Network
5,bninception,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_bninception.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.73524,1.1794072966927869,0.37735080177407676,0.24379058324684214,,0,,imagenet,imagenet,Neural Network
6,cafferesnet101,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_cafferesnet101.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.762,0.9934998123405372,0.3365444313383032,0.24773103592544532,,0,,imagenet,imagenet,Neural Network
7,densenet121,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_densenet121.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.74434,1.028076896013807,0.3557642717086147,0.31594728725559057,,0,,imagenet,imagenet,Neural Network
8,densenet161,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_densenet161.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.77138,0.9436757154751682,0.325483857829222,0.23784438076967807,,0,,imagenet,imagenet,Neural Network
9,densenet169,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_densenet169.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.756,0.9977919677705681,0.34255863468942377,0.2594932512095306,,0,,imagenet,imagenet,Neural Network
10,densenet201,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_densenet201.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.76896,0.9269754574885065,0.3259507102755934,0.2740586779288327,,0,,imagenet,imagenet,Neural Network
11,dpn131,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_dpn131.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.79432,0.8470373156678181,0.29646510049322017,0.20419428091888497,,0,,imagenet,imagenet,Neural Network
12,dpn68,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_dpn68.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.75868,0.9617417443614281,0.335765360533317,0.289563020441569,,0,,imagenet,imagenet,Neural Network
13,dpn98,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_dpn98.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.79224,0.8522939482056571,0.2983208965294806,0.2097749291783451,,0,,imagenet,imagenet,Neural Network
14,efficientnet-b0,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_efficientnet-b0.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.76528,1.0240539320678848,0.3385900522076652,0.44257882237434387,,0,,imagenet,imagenet,Neural Network
15,efficientnet-b0-autoaug,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_efficientnet-b0-autoaug.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.7684,1.0017287730839377,0.33644334009076154,0.4558711647987366,,0,,imagenet,imagenet,Neural Network
16,efficientnet-b1,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_efficientnet-b1.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.77908,0.9724234939607675,0.31834682667189906,0.42576009035110474,,0,,imagenet,imagenet,Neural Network
17,efficientnet-b1-autoaug,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_efficientnet-b1-autoaug.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.78716,0.9206902496420523,0.30736856827557835,0.42200860381126404,,0,,imagenet,imagenet,Neural Network
18,efficientnet-b2,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_efficientnet-b2.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.7889,0.9757804737696284,0.31757630489324545,0.48414748907089233,,0,,imagenet,imagenet,Neural Network
19,efficientnet-b2-autoaug,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_efficientnet-b2-autoaug.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.79776,0.8787004254185694,0.29363155302338984,0.4167098104953766,,0,,imagenet,imagenet,Neural Network
20,efficientnet-b3,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_efficientnet-b3.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.80212,0.8678158632855792,0.28693709708478565,0.39749062061309814,,0,,imagenet,imagenet,Neural Network
21,efficientnet-b3-autoaug,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_efficientnet-b3-autoaug.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.81054,0.8813854385960009,0.2888669708389462,0.45449164509773254,,0,,imagenet,imagenet,Neural Network
22,efficientnet-b4,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_efficientnet-b4.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.82228,0.9341057141970937,0.30341922581454417,0.5438277721405029,,0,,imagenet,imagenet,Neural Network
23,efficientnet-b4-autoaug,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_efficientnet-b4-autoaug.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.8255,0.8577182164560025,0.28035020116019643,0.4877792298793793,,0,,imagenet,imagenet,Neural Network
24,efficientnet-b5,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_efficientnet-b5.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.83114,0.7848405296517535,0.26006085082241565,0.43620553612709045,,0,,imagenet,imagenet,Neural Network
25,efficientnet-b5-autoaug,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_efficientnet-b5-autoaug.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.8363,0.7407706702836231,0.24849982923085318,0.4091714918613434,,0,,imagenet,imagenet,Neural Network
26,efficientnet-b5-randaug,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_efficientnet-b5-randaug.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.83532,0.7514579913920613,0.25037419586790177,0.40429362654685974,,0,,imagenet,imagenet,Neural Network
27,efficientnet-b6-autoaug,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_efficientnet-b6-autoaug.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.84128,0.76429589560605,0.25326181042463186,0.4629608988761902,,0,,imagenet,imagenet,Neural Network
28,efficientnet-b7-autoaug,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_efficientnet-b7-autoaug.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.84334,0.765029513090197,0.24908835389447465,0.44979745149612427,,0,,imagenet,imagenet,Neural Network
29,efficientnet-b7-randaug,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_efficientnet-b7-randaug.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.84726,0.6957619806194771,0.23462495204237022,0.39121347665786743,,0,,imagenet,imagenet,Neural Network
30,fbresnet152,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_fbresnet152.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.77386,0.9044239539334696,0.3182410416303318,0.24972986911831063,,0,,imagenet,imagenet,Neural Network
31,googlenet_inceptionv1,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_googlenet_inceptionv1.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.69778,1.282827497988228,0.419394223298988,0.4813178592279595,,0,,imagenet,imagenet,Neural Network
32,inceptionresnetv2,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_inceptionresnetv2.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.8027,0.8417578180643206,0.2856185525317864,0.2951693935444891,,0,,imagenet,imagenet,Neural Network
33,inceptionv3,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_inceptionv3.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.7732,0.9873984416064985,0.32441726248682856,0.3371782146723221,,0,,imagenet,imagenet,Neural Network
34,inceptionv4,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_inceptionv4.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.80082,0.8478659399570718,0.28716183675254026,0.2854306149113364,,0,,imagenet,imagenet,Neural Network
35,mnasnet0_5,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_mnasnet0_5.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.67602,1.3732588360536102,0.4363811712880567,0.36802176045595597,,0,,imagenet,imagenet,Neural Network
36,mnasnet1_0,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_mnasnet1_0.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.73456,1.0777827981335322,0.36605508010124677,0.29934297958139394,,0,,imagenet,imagenet,Neural Network
37,mobilenet_v2,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_mobilenet_v2.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.71878,1.1477031209610618,0.386356232852933,0.3421562852797631,,0,,imagenet,imagenet,Neural Network
38,nasnetalarge,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_nasnetalarge.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.82506,0.7968044223477163,0.2626918990198135,0.3110511898418104,,0,,imagenet,imagenet,Neural Network
39,nasnetamobile,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_nasnetamobile.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.7408,1.1015911968106329,0.3589483480854742,0.3922728796253694,,0,,imagenet,imagenet,Neural Network
