,models,filepaths,labelpaths,acc,nll,brier,qunc,hyperparameters,seed,npz_flag,train_set,test_set,model_family
0,FixPNASNet,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.fog.3_on-disk/imagenet-c.fog.3_on-disk_|_FixPNASNet.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.64072,1.6526355954341194,0.49682061691270946,0.3279198110103607,,0,,imagenet,imagenet_c_fog_3,Neural Network
1,FixResNet50,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.fog.3_on-disk/imagenet-c.fog.3_on-disk_|_FixResNet50.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.45574,2.537035893184355,0.6859647147596566,0.6107519268989563,,0,,imagenet,imagenet_c_fog_3,Neural Network
2,FixResNet50_no_adaptation,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.fog.3_on-disk/imagenet-c.fog.3_on-disk_|_FixResNet50_no_adaptation.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.50574,2.2902754630963713,0.6322265474120099,0.5393978953361511,,0,,imagenet,imagenet_c_fog_3,Neural Network
3,FixResNet50_v2,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.fog.3_on-disk/imagenet-c.fog.3_on-disk_|_FixResNet50_v2.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.45582,2.539230617122337,0.686717897411834,0.6053963899612427,,0,,imagenet,imagenet_c_fog_3,Neural Network
4,alexnet,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.fog.3_on-disk/imagenet-c.fog.3_on-disk_|_alexnet.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.14028,4.749177830606376,0.9701706334516782,0.8648371106853828,,0,,imagenet,imagenet_c_fog_3,Neural Network
5,bninception,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.fog.3_on-disk/imagenet-c.fog.3_on-disk_|_bninception.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.44376,2.769905821217959,0.7185068448223519,0.5386925380860782,,0,,imagenet,imagenet_c_fog_3,Neural Network
6,cafferesnet101,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.fog.3_on-disk/imagenet-c.fog.3_on-disk_|_cafferesnet101.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.45296,2.7118297611666606,0.7067626683653306,0.5301769103703861,,0,,imagenet,imagenet_c_fog_3,Neural Network
7,densenet121,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.fog.3_on-disk/imagenet-c.fog.3_on-disk_|_densenet121.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.50662,2.231144290139582,0.627443815087438,0.567618431724369,,0,,imagenet,imagenet_c_fog_3,Neural Network
8,densenet161,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.fog.3_on-disk/imagenet-c.fog.3_on-disk_|_densenet161.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.54678,2.1457350431124365,0.5996321985431187,0.4562553928033191,,0,,imagenet,imagenet_c_fog_3,Neural Network
9,densenet169,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.fog.3_on-disk/imagenet-c.fog.3_on-disk_|_densenet169.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.5366,2.1640767298253722,0.6077205685138736,0.4762759920955396,,0,,imagenet,imagenet_c_fog_3,Neural Network
10,densenet201,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.fog.3_on-disk/imagenet-c.fog.3_on-disk_|_densenet201.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.53048,2.140374916186937,0.6051797194013306,0.5250385558149581,,0,,imagenet,imagenet_c_fog_3,Neural Network
11,dpn131,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.fog.3_on-disk/imagenet-c.fog.3_on-disk_|_dpn131.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.5032,2.428772648266883,0.6517044404156199,0.47776124496724376,,0,,imagenet,imagenet_c_fog_3,Neural Network
