,models,filepaths,labelpaths,acc,nll,brier,qunc,hyperparameters,seed,npz_flag,train_set,test_set,model_family
0,FixPNASNet,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.gaussian_noise.3_on-disk/imagenet-c.gaussian_noise.3_on-disk_|_FixPNASNet.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.5332,2.272995180033846,0.6111859030254093,0.46027854084968567,,0,,imagenet,imagenet_c_gaussian_noise_3,Neural Network
1,FixResNet50,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.gaussian_noise.3_on-disk/imagenet-c.gaussian_noise.3_on-disk_|_FixResNet50.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.27456,3.7637919698510673,0.848250642972611,0.7892819046974182,,0,,imagenet,imagenet_c_gaussian_noise_3,Neural Network
2,FixResNet50_no_adaptation,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.gaussian_noise.3_on-disk/imagenet-c.gaussian_noise.3_on-disk_|_FixResNet50_no_adaptation.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.37184,3.242936411761244,0.7851770199563665,0.6110857129096985,,0,,imagenet,imagenet_c_gaussian_noise_3,Neural Network
3,FixResNet50_v2,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.gaussian_noise.3_on-disk/imagenet-c.gaussian_noise.3_on-disk_|_FixResNet50_v2.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.27474,3.7664342077855566,0.8485991699205556,0.7849640846252441,,0,,imagenet,imagenet_c_gaussian_noise_3,Neural Network
4,alexnet,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.gaussian_noise.3_on-disk/imagenet-c.gaussian_noise.3_on-disk_|_alexnet.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.051,6.621482247065181,1.043589643942536,0.8914139172645561,,0,,imagenet,imagenet_c_gaussian_noise_3,Neural Network
5,bninception,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.gaussian_noise.3_on-disk/imagenet-c.gaussian_noise.3_on-disk_|_bninception.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.22826,4.795956807829158,0.9671220109571537,0.6623453989870961,,0,,imagenet,imagenet_c_gaussian_noise_3,Neural Network
6,cafferesnet101,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.gaussian_noise.3_on-disk/imagenet-c.gaussian_noise.3_on-disk_|_cafferesnet101.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.34966,3.70529822203671,0.840526643382081,0.563782777081809,,0,,imagenet,imagenet_c_gaussian_noise_3,Neural Network
7,densenet121,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.gaussian_noise.3_on-disk/imagenet-c.gaussian_noise.3_on-disk_|_densenet121.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.3588,3.1611902188968926,0.7781561449887312,0.6861112287171597,,0,,imagenet,imagenet_c_gaussian_noise_3,Neural Network
8,densenet161,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.gaussian_noise.3_on-disk/imagenet-c.gaussian_noise.3_on-disk_|_densenet161.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.44424,2.8228922658560354,0.7171743290810684,0.5272353151100881,,0,,imagenet,imagenet_c_gaussian_noise_3,Neural Network
9,densenet169,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.gaussian_noise.3_on-disk/imagenet-c.gaussian_noise.3_on-disk_|_densenet169.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.40112,3.0778490616002125,0.7632869916521685,0.5731498233774931,,0,,imagenet,imagenet_c_gaussian_noise_3,Neural Network
